"year","genres","mean_ratings","count"
2012,"Sport",7.19867841409692,908
2012,"Talk-Show",7.09758378799688,1283
2012,"Thriller",6.73513243378311,2001
2012,"War",6.92777777777778,288
2013,"Action",7.14479652065859,6438
2013,"Adult",6.20480620155039,645
2013,"Adventure",7.28737214059885,5377
2013,"Animation",7.32323093382241,6543
2013,"Biography",7.30433884297521,1452
2013,"Comedy",7.11669437188316,16844
2013,"Crime",7.33065507737969,4717
2013,"Documentary",7.35499486389317,7788
2013,"Drama",7.12301799838077,16057
2013,"Family",7.27478210342824,3442
2013,"Fantasy",7.12514677103718,2044
2013,"History",7.35289817232376,1915
2013,"Horror",6.20542168674699,2490
2013,"Music",7.12484700122399,1634
2013,"Musical",7.30505319148936,376
2013,"Mystery",7.17065737919025,2297
2013,"Other",7.01438906752412,2488
2013,"Romance",7.03161222339305,3796
2013,"Sci-Fi",6.885554866708,1613
2013,"Short",6.96948283231229,7019
2013,"Sport",7.32572145545797,797
2013,"Talk-Show",7.06296296296296,1377
2013,"Thriller",6.43405762871989,2117
2013,"War",7.05893854748603,358
2014,"Action",7.24194488992565,6859
2014,"Adult",6.13157076205288,643
2014,"Adventure",7.34681728527882,5577
